neighbourhood,year,month,PM2.5 particulate matter (Hourly measured),PM10 particulate matter (Hourly measured),avg_compound,sentiment,review_count,llm_label,perception_final,perception_source
London Bloomsbury,2024,2,6.223275862068966,10.719827586206897,,,,Clean,Clean,LLM
London Bloomsbury,2024,3,9.15858064516129,12.703225806451613,,,,Clean,Clean,LLM
London Bloomsbury,2024,4,5.386033333333334,8.998333333333333,,,,Clean,Clean,LLM
London Bloomsbury,2024,5,9.808258064516128,13.589516129032257,,,,Clean,Clean,LLM
London Bloomsbury,2024,6,5.7178,9.135833333333332,,,,Clean,Clean,LLM
London Bloomsbury,2024,7,4.634129032258064,7.611290322580645,,,,Clean,Clean,LLM
London Bloomsbury,2024,8,6.599225806451613,10.896774193548389,,,,Clean,Clean,LLM
London Bloomsbury,2024,9,8.927633333333334,13.264166666666666,,,,Clean,Clean,LLM
London Bloomsbury,2024,10,6.870806451612904,12.037903225806453,,,,Clean,Clean,LLM
London Bloomsbury,2024,11,17.94633333333333,22.1375,,,,Clean,Clean,LLM
London Bloomsbury,2024,12,6.704689655172414,9.93448275862069,,,,Clean,Clean,LLM
London Bloomsbury,2025,1,12.46583870967742,17.03306451612903,,,,Clean,Clean,LLM
London Bloomsbury,2025,2,14.901535714285714,19.289285714285715,,,,Clean,Clean,LLM
London Bloomsbury,2025,3,18.55609677419355,24.580645161290324,,,,Clean,Clean,LLM
London Bloomsbury,2025,4,10.4497,15.376666666666669,,,,Clean,Clean,LLM
London Bloomsbury,2025,5,7.834096774193548,12.665322580645162,,,,Clean,Clean,LLM
London Bloomsbury,2025,6,6.092766666666667,9.749166666666667,,,,Clean,Clean,LLM
London Bloomsbury,2025,7,4.959709677419355,8.730645161290322,,,,Clean,Clean,LLM
London Bloomsbury,2025,8,6.498903225806452,11.390322580645162,,,,Clean,Clean,LLM
London Marylebone Road,2023,8,9.266666666677418,12.206366666774194,,,,Polluted,Polluted,LLM
London Marylebone Road,2023,9,17.266666666666666,21.288733333333333,,,,Polluted,Polluted,LLM
London Marylebone Road,2023,10,10.964285713870968,14.355,,,,Polluted,Polluted,LLM
London Marylebone Road,2023,11,11.678571428666666,16.592034482666666,,,,Polluted,Polluted,LLM
London Marylebone Road,2023,12,9.64516129032258,15.490387096774194,,,,Polluted,Polluted,LLM
London Marylebone Road,2024,1,11.923076922580645,22.70581818129032,,,,Polluted,Polluted,LLM
London Marylebone Road,2024,2,10.482758620689657,16.59193103448276,,,,Polluted,Polluted,LLM
London Marylebone Road,2024,3,13.161290322580646,17.422806451612903,,,,Polluted,Polluted,LLM
London Marylebone Road,2024,4,6.7,13.216285714,,,,Polluted,Polluted,LLM
London Marylebone Road,2024,5,13.407407407741935,18.89462962967741,,,,Polluted,Polluted,LLM
London Marylebone Road,2024,6,8.896551724133333,15.759103448333333,,,,Polluted,Polluted,LLM
London Marylebone Road,2024,7,8.66666666667742,12.124225806451612,,,,Polluted,Polluted,LLM
London Marylebone Road,2024,8,10.928571428709676,17.570555556129033,,,,Polluted,Polluted,LLM
London Marylebone Road,2024,9,13.0,17.688846153333333,,,,Polluted,Polluted,LLM
London Marylebone Road,2024,10,12.03225806451613,17.266774193548386,,,,Polluted,Polluted,LLM
London Marylebone Road,2024,11,16.285714285999997,25.880357142666664,,,,Polluted,Polluted,LLM
London Marylebone Road,2024,12,9.35483870967742,16.144870967741934,,,,Polluted,Polluted,LLM
London Marylebone Road,2025,1,19.464285713870968,26.777535713870968,,,,Polluted,Polluted,LLM
London Marylebone Road,2025,2,19.607142857142858,27.57125,,,,Polluted,Polluted,LLM
London Marylebone Road,2025,3,26.032258064516128,35.25077419354839,,,,Polluted,Polluted,LLM
London Marylebone Road,2025,4,16.444444444000002,25.47903703733333,,,,Polluted,Polluted,LLM
London Marylebone Road,2025,5,14.064516129032258,21.38106451612904,,,,Polluted,Polluted,LLM
London Marylebone Road,2025,6,13.9,20.322366666666667,,,,Polluted,Polluted,LLM
London Marylebone Road,2025,7,10.642857142580644,19.91053571387097,,,,Polluted,Polluted,LLM
London Marylebone Road,2025,8,10.387096774193548,19.76035483870968,,,,Polluted,Polluted,LLM
London North Kensington,2023,8,5.313612903225807,9.52258064516129,,,,Mixed,Mixed,LLM
London North Kensington,2023,9,11.717033333333331,16.736666666666668,,,,Mixed,Mixed,LLM
London North Kensington,2023,10,6.725516129032258,10.325806451612904,,,,Mixed,Mixed,LLM
London North Kensington,2023,11,8.368033333333333,12.443333333333332,,,,Mixed,Mixed,LLM
London North Kensington,2023,12,6.546032258064516,9.793548387096775,,,,Mixed,Mixed,LLM
London North Kensington,2024,1,7.805903225806452,11.7,,,,Mixed,Mixed,LLM
London North Kensington,2024,2,6.242586206896552,10.124137931034484,,,,Mixed,Mixed,LLM
London North Kensington,2024,3,9.793064516129032,13.258064516129032,,,,Mixed,Mixed,LLM
London North Kensington,2024,4,5.512666666666666,8.776666666666667,,,,Mixed,Mixed,LLM
London North Kensington,2024,5,10.486870967741936,14.483870967741936,,,,Mixed,Mixed,LLM
London North Kensington,2024,6,5.978033333333333,9.546666666666663,,,,Mixed,Mixed,LLM
London North Kensington,2024,7,4.896516129032258,8.07741935483871,,,,Mixed,Mixed,LLM
London North Kensington,2024,8,7.223333333333333,11.913333333333332,,,,Mixed,Mixed,LLM
London North Kensington,2024,9,14.933333333333334,29.03333333333333,,,,Mixed,Mixed,LLM
London North Kensington,2024,10,12.419354838709678,21.161290322580644,,,,Mixed,Mixed,LLM
London North Kensington,2024,11,21.366666666666667,32.5,,,,Mixed,Mixed,LLM
London North Kensington,2024,12,10.903225806451612,18.41935483870968,,,,Mixed,Mixed,LLM
London North Kensington,2025,1,22.41935483870968,29.548387096774192,,,,Mixed,Mixed,LLM
London North Kensington,2025,2,23.75,33.142857142857146,,,,Mixed,Mixed,LLM
London North Kensington,2025,3,26.41935483870968,36.80645161290322,,,,Mixed,Mixed,LLM
London North Kensington,2025,4,18.93103448275862,27.75862068965517,,,,Mixed,Mixed,LLM
London North Kensington,2025,5,13.529411764705882,22.166666666666668,,,,Mixed,Mixed,LLM
London North Kensington,2025,6,8.428571428571429,19.214285714285715,,,,Mixed,Mixed,LLM
London North Kensington,2025,7,8.580645161290322,18.06451612903226,,,,Mixed,Mixed,LLM
London North Kensington,2025,8,9.806451612903226,20.90322580645161,,,,Mixed,Mixed,LLM
